codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
AM-20.11	MAA-020.0011	2-2-03-1-08	79	BMB FILTER	
AM-20.19	MAA-020.0019	2-2-03-1-07	79	BMB FILTER	
AM-20.25	MAA-020.0025	2-2-03-1-06	79	BMB FILTER	
AM-20.35	MAA-020.0035	2-2-03-2-01	79	BMB FILTER	
AM-20.46	MAA-020.0046	2-2-03-2-01	79	BMB FILTER	
AM-5.01	MAA-005.0001	2-2-03-1-05	79	BMB FILTER	
AM-5.02	MAA-005.0002	2-2-03-1-04	79	BMB FILTER	
AM-5.16	MAA-005.0016	2-2-03-1-03	79	BMB FILTER	
AM-5.19	MAA-005.0019		79	BMB FILTER	
AM-5.20	MAA-005.0020	2-2-03-1-02	79	BMB FILTER	
AM-5.22	MAA-005.0022	2-2-03-1-01	79	BMB FILTER	
AMI101	AMI101	1-1-05-4-10	062	BOTTA	
AMI102	AMI 102	1-1-05-4-11	062	BOTTA	
AMS105	AMS105	1-1-03-2-03	062	BOTTA	
AMS106	AMS 106	1-1-05-4-10	062	BOTTA	
AP201C	AP201		80	CROSS X	
AR10	AR10	1-2-10-1-08	042	JC TORNILLOS	
Ar12	AR12	1-2-10-1-08	042	JC TORNILLOS	
AR15	AR15	1-2-10-1-08	042	JC TORNILLOS	
AR5	AR5	1-2-10-1-10	042	JC TORNILLOS	
AR6	AR6	1-2-10-1-09	042	JC TORNILLOS	
AR618	AR618	1-2-10-1-09	042	JC TORNILLOS	
AR622	AR622	1-2-10-1-09	042	JC TORNILLOS	
AR7	AR7	1-2-10-1-09	042	JC TORNILLOS	
AR8	AR8	1-2-10-1-08	042	JC TORNILLOS	
AR822	AR822	1-2-10-1-10	042	JC TORNILLOS	
ARG6	ARG6	1-2-10-1-10	042	JC TORNILLOS	
ARG8	ARG8	1-2-10-1-10	042	JC TORNILLOS	
AS13	AS13	1-2-10-1-07	042	JC TORNILLOS	
AS14	AS14		042	JC TORNILLOS	
AS1408	AS1408		042	JC TORNILLOS	
AS15	AS15		042	JC TORNILLOS	
AS1508	AS1508		042	JC TORNILLOS	
AS16	AS16	1-2-10-1-07	042	JC TORNILLOS	
AS17	AS17		042	JC TORNILLOS	
AS1708	AS1708	1-2-10-1-07	042	JC TORNILLOS	
AS18	AS18	1-2-10-1-07	042	JC TORNILLOS	
AS-2802Y	AS-2802Y	1-3-08-2-06	020	WEGA	
B- L17YC	BL17YC		007	BRISK	
B- U17	U17		007	BRISK	
B202	B202	1-3-07-5-06	80	CROSS X	
B809	B809	1-2-05-3-13	80	CROSS X	
BA214	BA214	1-2-03-2-04	80	CROSS X	
BAQ100	BAQ 100	1-1-05-4-07	062	BOTTA	
BAQ105	BAQ 105	1-1-05-4-08	062	BOTTA	
