codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
HD-ESP021	ESP021	1-2-01-2-06	076	HADA	
HD-ESP022	ESP022	1-2-01-2-05	076	HADA	
HD-ESP023	ESP023	1-2-01-2-04	076	HADA	
HD-ESP024	ESP024	1-2-01-2-03	076	HADA	
HD-ESP025	ESP025	1-2-01-2-02	076	HADA	
HD-ESP026	ESP026	1-2-01-2-01	076	HADA	
HD-ESP300	ESP300		076	HADA	
HD-ESP301	ESP301		076	HADA	
HD-ESP302	ESP302		076	HADA	
HD-ESP303	ESP303		076	HADA	
HD-EST001	EST001	1-4-04-2-11	076	HADA	
HD-EST002	EST002	1-4-09-3-10	076	HADA	
HD-EST003	EST003	1-4-04-2-09	076	HADA	
HD-EST004	EST004	1-4-04-1-05	076	HADA	
HD-EST005	EST005	1-4-04-2-08	076	HADA	
HD-EST006	EST006	1-4-04-2-07	076	HADA	
HD-EST009	EST009	1-4-04-2-06	076	HADA	
HD-EST013	EST013	1-4-04-2-05	076	HADA	
HD-EST016	EST016	1-4-04-2-04	076	HADA	
HD-EST017	EST017	1-4-04-2-03	076	HADA	
HD-EST021	EST021	1-4-04-2-02	076	HADA	
HD-EST023	EST023	1-4-04-2-01	076	HADA	
HD-EST024	EST024	1-4-04-1-08	076	HADA	
HD-EST025	EST025	1-4-04-1-07	076	HADA	
HD-EST100	EST100	1-4-04-1-06	076	HADA	
HD-ETR001	ETR001	1-4-04-4-20	076	HADA	
HD-ETR005	ETR005	1-4-04-4-19	076	HADA	
HD-ETR006	ETR006	1-4-04-4-18	076	HADA	
HD-ETR007	ETR007	1-4-04-4-17	076	HADA	
HD-ETR008	ETR008	1-4-04-4-16	076	HADA	
HD-ETR009	ETR009	1-4-04-4-15	076	HADA	
HD-ETR010	ETR010	1-4-04-4-14	076	HADA	
HD-ETR011	ETR011	1-4-04-4-13	076	HADA	
HD-ETR012	ETR012	1-4-04-4-12	076	HADA	
HD-ETR013	ETR013	1-4-04-4-11	076	HADA	
HD-ETR014	ETR014	1-4-04-4-10	076	HADA	
HD-ETR015	ETR015	1-4-04-4-09	076	HADA	
HD-ETR016	ETR016	1-4-04-4-08	076	HADA	
HD-ETR017	ETR017	1-4-04-4-06	076	HADA	
HD-ETR018	ETR018	1-4-04-4-06	076	HADA	
HD-ETR020	ETR020	1-4-04-4-05	076	HADA	
HD-ETR021	ETR021	1-4-04-4-05	076	HADA	
HD-ETR022	ETR022	1-4-04-4-04	076	HADA	
HD-ETR030	ETR030	1-4-04-4-03	076	HADA	
HD-ETR040	ETR040	1-4-04-4-02	076	HADA	
HD-ETR300	ETR300	1-4-07-4-11	076	HADA	
HD-ETR301	ETR301	1-4-07-4-10	076	HADA	
HD-ETR303	ETR303	1-4-04-4-01	076	HADA	
HD-ETR400	ETR400	1-4-07-4-09	076	HADA	
HD-FAD005	FAD005	2-3-02-1-01	076	HADA	
HD-FAD013	FAD013	Almacen	076	HADA	
HD-FAD015	FAD015	2-3-02-2-03	076	HADA	
HD-FAD016	FAD016		076	HADA	
HD-FAD016RO	FAD016		076	HADA	
HD-FAD023	FAD023	2-3-02-2-02	076	HADA	
HD-FAD024	FAD024	2-3-02-2-01	076	HADA	
HD-FAG004	FAG004		076	HADA	
HD-FAT001	FAT001	2-3-02-1-06	076	HADA	
HD-FAT011	FAT011	2-3-02-1-05	076	HADA	
HD-FAT033	FAT033	2-1-07-2-05	076	HADA	
HD-FJM001	FJM001	1-2-06-5-08	076	HADA	
HD-FLA001	FLA001		076	HADA	
HD-FPA100	FPA100	1-4-04-5-06	076	HADA	
HD-FPA200	FPA200		076	HADA	
HD-FTA001	FTA001		076	HADA	
HD-FTA002	FTA002	2-1-07-3-08	076	HADA	
HD-FTA007	FTA007	2-1-07-3-09	076	HADA	
HD-FTA010	FTA010	2-1-07-3-09	076	HADA	
HD-FTA011	FTA011	2-1-07-3-10	076	HADA	
HD-FTA012	FTA012	2-1-07-3-11	076	HADA	
HD-FTA013	FTA013	2-1-07-3-11	076	HADA	
HD-FTA014	FTA014	2-1-07-2-14	076	HADA	
HD-FTA015	FTA015	2-1-07-2-13	076	HADA	
HD-FTA016	FTA016	2-1-07-2-12	076	HADA	
HD-FTA017	FTA017	2-1-07-2-11	076	HADA	
HD-FTA022	FTA022	1-1-09-2-05	076	HADA	
HD-FTA027	FTA027	2-1-07-2-10	076	HADA	
HD-FTA028	FTA028	2-3-02-1-05	076	HADA	
HD-FTA029	FTA029	2-1-07-2-09	076	HADA	
HD-FTA030	FTA030	2-1-07-2-07	076	HADA	
HD-FTA031	FTA031		076	HADA	
HD-FTA032	FTA032	2-1-07-2-08	076	HADA	
HD-FTA033	FTA033	2-1-07-2-07	076	HADA	
HD-FTA034	FTA034	2-1-07-1-06	076	HADA	
HD-FTA036	FTA036	2-1-07-1-05	076	HADA	
HD-FTA037	FTA037	2-1-07-2-05	076	HADA	
HD-FTA038	FTA038	2-1-07-1-08	076	HADA	
HD-FTA039	FTA039	2-1-07-1-07	076	HADA	
HD-FTA045	FTA045	2-1-07-1-08	076	HADA	
HD-FTA046	FTA046	2-1-07-1-11	076	HADA	
HD-FTA047	FTA047	2-1-07-1-09	076	HADA	
HD-FTA049	FTA049	2-1-07-1-13	076	HADA	
HD-FTA050	FTA050	2-1-07-1-10	076	HADA	
HD-FTA051	FTA051	2-1-09-1-02	076	HADA	
HD-FTA052	FTA052	2-1-09-1-03	076	HADA	
HD-FTA053	FTA053		076	HADA	
HD-FTA054	FTA054	2-1-09-1-08	076	HADA	
HD-FTA151	FTA151	2-1-09-2-01	076	HADA	
HD-FTA153	FTA153	2-1-09-2-02	076	HADA	
HD-FTA154	FTA154	2-1-09-2-03	076	HADA	
HD-FTA203	FTA203	2-1-09-1-09	076	HADA	
HD-FTA204	FTA204	2-1-09-1-10	076	HADA	
HD-FTA205	FTA205		076	HADA	
HD-FTA300	FTA300	2-1-09-1-11	076	HADA	
HD-FTA301	FTA301	2-1-09-1-11	076	HADA	
HD-FTA500	FTA500	2-1-09-2-05	076	HADA	
HD-FTA600	FTA600	2-1-09-1-13	076	HADA	
HD-FTA601	FTA601	2-1-09-2-13	076	HADA	
HD-FTA-A100	FTA-A100	1-2-06-4-10	076	HADA	
HD-FTA-A300	FTA-A300	2-1-09-2-09	076	HADA	
HD-FTA-A400	FTA-A400		076	HADA	
HD-FTA-N001	FTA-N001	2-3-01-4-13	076	HADA	
HD-FUE001	FUE001	1-2-05-1-04	076	HADA	
HD-FUE002	FUE002		076	HADA	
HD-GCC002	GCC002	1-2-02-1-09	076	HADA	
HD-GRD001	GRD001	1-3-01-1-06	076	HADA	
HD-GRD100	GRD100	1-3-03-2-02	076	HADA	
HD-GVTC001	GVTC001		076	HADA	
HD-GVTC203	GVTC203		076	HADA	
HD-GVTC400	GVTC400		076	HADA	
HD-GYT001	GYT001	1-2-02-2-01	076	HADA	
HD-GYT002	GYT002	1-2-02-2-02	076	HADA	
HD-GYT004	GYT004	1-2-02-2-03	076	HADA	
HD-GYT005	GYT005	1-2-02-2-04	076	HADA	
HD-GYT011	GYT011	1-2-02-2-05	076	HADA	
HD-GYT012	GYT012	1-2-02-2-06	076	HADA	
HD-GYT021	GYT021	1-2-02-2-07	076	HADA	
HD-GYT022	GYT022	1-2-02-2-08	076	HADA	
HD-GYT023	GYT023	1-2-02-2-09	076	HADA	
HD-GYT031	GYT031	1-2-02-2-10	076	HADA	
HD-GYT032	GYT032	1-2-04-2-01	076	HADA	
HD-GYT033	GYT033	1-2-02-2-11	076	HADA	
HD-GYT200	GYT200	1-2-04-2-02	076	HADA	
HD-HER001	HER001	2-3-01-4-14	076	HADA	
HD-HER011	HER011	1-2-04-2-07	076	HADA	
HD-HER012	HER012	1-2-04-2-06	076	HADA	
HD-HER021	HER021	1-2-04-2-05	076	HADA	
HD-HF-KCL052-1	HF-KCL052-1	1-2-99-Atrás	076	HADA	
HD-HF-KCL058	HF-KCL058	1-2-99-Atrás	076	HADA	
HD-HF-KCL060	HF-KCL060	1-2-99-Atrás	076	HADA	
HD-HF-KCL062	HF-KCL062	1-2-99-Atrás	076	HADA	
HD-HF-KCL062-1	HF-KCL062-1	1-2-99-atras	076	HADA	
HD-HF-KCL082	HF-KCL082	1-2-99-Atrás	076	HADA	
HD-HF-KCL085	HF-KCL085	1-2-99-Atrás	076	HADA	
HD-HF-TC001	HF-TC001	1-3-04-3-01	076	HADA	
HD-HOR001	HOR001	2-2-03-2-14	076	HADA	
HD-JAU001	JAU001	2-3-09-2-04	076	HADA	
HD-JES001	JES001	1-2-05-2-12	076	HADA	
HD-JES002	JES002	1-2-05-2-11	076	HADA	
HD-JES003	JES003	1-2-05-2-13	076	HADA	
HD-JNT001	JNT001	1-1-07-4-07	076	HADA	
HD-JNT006	JNT006	1-1-07-4-06	076	HADA	
HD-JNT008	JNT008	1-1-07-4-05	076	HADA	
HD-JNT010	JNT010	1-1-07-4-04	076	HADA	
HD-JNT011	JNT011	1-1-07-4-03	076	HADA	
HD-JNT021	JNT021	1-1-07-4-02	076	HADA	
HD-JNT023	JNT023	1-1-07-4-01	076	HADA	
HD-KBD-A001	KBD-A001	1-2-02-1-05	076	HADA	
HD-KCL001	HF-KCL001	1-2-99-Atrás	076	HADA	
HD-KCL002	HF-KCL002	1-2-99-Atrás	076	HADA	
HD-KCL003	HF-KCL003	1-2-99-Atrás	076	HADA	
HD-KCL023	HF-KCL023	1-2-99-Atrás	076	HADA	
HD-KCL024	HF-KCL024	1-2-99-Atrás	076	HADA	
HD-KCL025	HF-KCL025	1-2-99-Atrás	076	HADA	
HD-KCL026	HF-KCL026	1-2-99-Atrás	076	HADA	
HD-KCL027	HF-KCL027	1-2-99-Atrás	076	HADA	
HD-KCL028	HF-KCL028	1-2-99-Atrás	076	HADA	
HD-KCL029	HF-KCL029	1-2-99-Atrás	076	HADA	
HD-KCL051	HF-KCL051	1-2-99-Atrás	076	HADA	
HD-KCL052	HF-KCL052	1-2-99-Atrás	076	HADA	
HD-KCL053	HF-KCL053	1-2-99-Atrás	076	HADA	
HD-KCL054	HF-KCL054	1-2-99-Atrás	076	HADA	
HD-KCL055	HF-KCL055	1-2-99-Atrás	076	HADA	
HD-KCL056	HF-KCL056	1-2-99-Atrás	076	HADA	
HD-KCL057	HF-KCL057	1-2-99-Atrás	076	HADA	
HD-KCL059	HF-KCL059	1-2-99-Atrás	076	HADA	
HD-KCL061	HF-KCL061	1-2-99-Atrás	076	HADA	
HD-KCL083	HF-KCL083	1-2-99-Atrás	076	HADA	
HD-KCL101	HF-KCL101	1-2-99-Atrás	076	HADA	
HD-KCL103	HF-KCL103	1-2-99-Atrás	076	HADA	
HD-KCL120	HF-KCL120	1-2-99-Atrás	076	HADA	
HD-KCL121	HF-KCL121	1-2-99-Atrás	076	HADA	
HD-KCL122	HF-KCL122	1-2-99-Atrás	076	HADA	
HD-KDIC001	KDIC001	1-2-07-3-10	076	HADA	
HD-KDIC003	KDIC003	1-2-07-3-11	076	HADA	
HD-KIP082	KIP082	1-1-09-3-01	076	HADA	
HD-KIP084	KIP084		076	HADA	
HD-KIP096	KIP096	1-1-09-adelante	076	HADA	
HD-KIP099	KIP098	1-1-09-3-02	076	HADA	
HD-KIP100	KIP100	1-1-09-3-03	076	HADA	
HD-KIP101	KIP101		076	HADA	
HD-KIP111	KIP111		076	HADA	
HD-KIP112	KIP112	1-1-09-3-07	076	HADA	
HD-KIP113	KIP113	1-1-09-3-08	076	HADA	
HD-KIP114	KIP114	1-1-09-3-09	076	HADA	
HD-KIP121	KIP121	1-1-09-3-09	076	HADA	
HD-KIP122	KIP122	1-1-09-3-10	076	HADA	
HD-KIP123	KIP123		076	HADA	
HD-KIP142	KIP142	1-1-09-3-05	076	HADA	
HD-KIP143	KIP143	1-1-07-3-13	076	HADA	
HD-KIP150	KIP150	1-1-09-3-12	076	HADA	
HD-KIP151	KIP151	1-1-09-3-12	076	HADA	
HD-KIP152	KIP152	1-1-09-3-13	076	HADA	
HD-KIP153	KIP153		076	HADA	
HD-KIP154	KIP154	1-1-09-3-15	076	HADA	
HD-KIP162	KIP162	1-1-09-3-16	076	HADA	
HD-KPH216	KPH216	1-1-09-3-18	076	HADA	
HD-KPH217	KPH217	1-1-09-4-10	076	HADA	
HD-KPH218	KPH218	1-1-09-4-09	076	HADA	
HD-KPH219	KPH219	1-1-09-4-08	076	HADA	
HD-KPH220	KPH220	1-1-09-4-11	076	HADA	
HD-KPH406	HF-KPH406	1-1-09-3-19	076	HADA	
HD-KPH407	HF-KPH407	1-1-09-3-20	076	HADA	
HD-KPH408	HF-KPH408	1-1-09-3-21	076	HADA	
HD-KPH409	HF-KPH409	1-1-09-3-22	076	HADA	
HD-KPH410	HF-KPH410	1-1-09-3-23	076	HADA	
HD-KPH512	HF-KPH512	1-1-09-3-04	076	HADA	
HD-KPH606	HF-KPH606		076	HADA	
HD-KPH607	HF-KPH607	1-1-09-3-06	076	HADA	
HD-KPH608	HF-KPH608	1-1-09-3-26	076	HADA	
HD-KPH609	HF-KPH609	1-1-09-3-24	076	HADA	
HD-KPH610	HF-KPH610	1-1-09-3-25	076	HADA	
HD-KRC CM200	KRC-CM200	1-2-04-4-09	076	HADA	
HD-KRC CM300	KRC-CM300	1-2-04-4-08	076	HADA	
HD-KRC005	KRC005	1-2-04-4-06	076	HADA	
HD-KRV001	KRV001	1-2-04-4-07	076	HADA	
HD-KTR001	KTR001	1-2-99-Atrás	076	HADA	
HD-KTR002	KTR002	1-2-99-Atrás	076	HADA	
HD-KTR003	KTR003	1-2-99-Atrás	076	HADA	
HD-KTR006	KTR006	1-2-99-Atrás	076	HADA	
HD-KTR007	KTR007	1-2-99-Atrás	076	HADA	
HD-KTR009	KTR009	1-2-99-Atrás	076	HADA	
HD-KTR010	KTR010	1-2-99-Atrás	076	HADA	
HD-KTR011	KTR011	1-2-99-Atrás	076	HADA	
HD-KTR012	KTR012	1-2-99-Atrás	076	HADA	
HD-KTR014	KTR014	1-2-99-Atrás	076	HADA	
HD-KTR015	KTR015	1-2-99-Atrás	076	HADA	
HD-KTR016	KTR016	1-2-99-Atrás	076	HADA	
HD-KTR017	KTR017	1-2-99-Atrás	076	HADA	
HD-KTR018	KTR018	1-2-99-Atrás	076	HADA	
HD-KTR021	KTR021	1-2-99-Atrás	076	HADA	
HD-KTR022	KTR022	1-2-99-Atrás	076	HADA	
HD-KTR023	KTR023	1-2-99-Atrás	076	HADA	
HD-KTR024	KTR024	1-2-99-Atrás	076	HADA	
HD-KTR025	KTR025	1-2-99-Atrás	076	HADA	
HD-KTR031	KTR031	1-2-99-Atrás	076	HADA	
HD-KTR032	KTR032	1-2-99-Atrás	076	HADA	
HD-KTR033	KTR033	1-2-99-Atrás	076	HADA	
HD-KTR035	KTR035	1-2-99-Atrás	076	HADA	
HD-KTR036	KTR036	1-2-99-Atrás	076	HADA	
HD-KTR040	KTR040	1-2-99-Atrás	076	HADA	
HD-KTR041	KTR041	1-2-99-Atrás	076	HADA	
HD-KTR151	KTR151	1-2-99-Atrás	076	HADA	
HD-KTR152	KTR152	1-2-99-Atrás	076	HADA	
HD-KTR153	KTR153	1-2-99-Atrás	076	HADA	
HD-KTR200	KTR200	1-2-99-Atrás	076	HADA	
HD-KTR201	KTR201	1-2-99-Atrás	076	HADA	
HD-KTR402	KTR402	1-2-99-Atrás	076	HADA	
HD-KTR403	KTR403	1-2-99-Atrás	076	HADA	
HD-KTR404	KTR404	1-2-99-Atrás	076	HADA	
HD-LAM010	LAM010	2-3-01-4-07	076	HADA	
HD-LAM011	LAM011	2-3-10-04-09	076	HADA	
HD-LAM012	LAM012	2-3-01-4-08	076	HADA	
HD-LAM013	LAM013	2-3-01-4-09	076	HADA	
HD-LAM100	LAM100	1-4-02-2-08	076	HADA	
HD-LAM101	LAM101	2-3-01-4-01	076	HADA	
HD-LAM102	LAM102	2-3-01-4-02	076	HADA	
HD-LAM104	LAM104	2-3-10-4-16	076	HADA	
HD-LAM105	LAM105	2-3-01-4-03	076	HADA	
HD-LAM106	LAM106	2-3-01-4-04	076	HADA	
HD-LAM107	LAM107	2-3-01-4-05	076	HADA	
HD-LAM108	LAM108	2-3-01-4-06	076	HADA	
HD-LDE001	LDE001	1-2-04-4-10	076	HADA	
HD-LDF001	LDF001	1-2-02-5-01	076	HADA	
HD-LDF002	LDF002	1-2-02-4-02	076	HADA	
HD-LDF003	LDF003	1-2-02-4-03	076	HADA	
HD-LDF004	LDF004	1-2-02-4-04	076	HADA	
HD-LDF006	LDF006	1-2-02-4-05	076	HADA	
HD-LDF007	LDF007	1-2-02-4-06	076	HADA	
HD-LDF008	LDF008	1-2-02-4-07	076	HADA	
HD-LDF009	LDF009	1-2-02-4-08	076	HADA	
HD-LDF010	LDF010	1-2-02-4-09	076	HADA	
HD-LDF011	LDF011	1-2-02-4-10	076	HADA	
HD-LDF012	LDF012	1-2-02-4-11	076	HADA	
HD-LDF013	LDF013	1-2-04-5-01	076	HADA	
HD-LDF014	LDF014	1-2-04-5-02	076	HADA	
HD-LDF015	LDF015	1-2-04-5-03	076	HADA	
HD-LDF016	LDF016	1-2-04-5-04	076	HADA	
HD-LDF017	LDF017	1-2-04-5-05	076	HADA	
HD-LDF018	LDF018	1-2-04-5-19	076	HADA	
HD-LDF019	LDF019	1-2-04-5-07	076	HADA	
HD-LDF300	LDF300	1-2-04-5-10	076	HADA	
HD-LDF301	LDF301	1-2-04-5-08	076	HADA	
HD-LED020	LED020		076	HADA	
HD-LFI001	LFI001	1-2-02-4-01	076	HADA	
HD-LFI002	LFI002	1-2-02-4-02	076	HADA	
HD-LFI003	LFI003	1-2-02-4-03	076	HADA	
HD-LFI004	LFI004	1-2-02-4-04	076	HADA	
HD-LFI005	LFI005	1-2-02-4-05	076	HADA	
HD-LFI006	LFI006	1-2-02-4-06	076	HADA	
HD-LFI007	LFI007	1-2-02-4-07	076	HADA	
HD-LFI008	LFI008	1-2-02-4-08	076	HADA	
HD-LFI010	LFI010	1-2-02-4-09	076	HADA	
HD-LFI011	LFI011	1-2-02-4-11	076	HADA	
HD-LFI012	LFI012	1-2-02-4-12	076	HADA	
HD-LFI300	LFI300	1-2-04-4-01	076	HADA	
HD-LFI302	LFI302	1-2-04-4-02	076	HADA	
HD-LLA001	LLA001	2-2-04-1-10	076	HADA	
HD-LLA002	LLA002	2-2-04-2-01	076	HADA	
HD-LLA003	LLA003	2-2-04-2-02	076	HADA	
HD-LLA004	LLA004	2-2-04-2-03	076	HADA	
HD-LLA005	LLA005	2-2-04-2-04	076	HADA	
HD-LLA006	LLA006	2-2-04-2-05	076	HADA	
HD-LLA007	LLA007	2-2-04-2-06	076	HADA	
HD-LLA008	LLA008	2-2-04-2-07	076	HADA	
HD-LLA010	LLA010	2-2-04-2-08	076	HADA	
HD-LLA011	LLA011	2-2-04-2-09	076	HADA	
HD-LLA012	LLA012	2-2-04-2-12	076	HADA	
HD-LLA013	LLA013	2-2-04-2-11	076	HADA	
HD-LLA014	LLA014	2-2-04-2-12	076	HADA	
HD-LLA015	LLA015	2-2-04-2-13	076	HADA	
HD-LLA016	LLA016	2-2-04-2-14	076	HADA	
HD-LLA017	LLA017	2-2-04-2-15	076	HADA	
HD-LLA020	LLA020	2-2-04-3-01	076	HADA	
HD-LLA021	LLA021	2-2-04-3-02	076	HADA	
HD-LLA022	LLA022	2-2-04-2-18	076	HADA	
HD-LLA023	LLA023	2-2-04-3-04	076	HADA	
HD-LLA024	LLA024	2-2-04-3-05	076	HADA	
HD-LLA025	LLA025	2-2-04-3-06	076	HADA	
HD-LLA030	LLA030	2-2-04-3-07	076	HADA	
HD-LLA031	LLA031	2-2-04-3-08	076	HADA	
HD-LLA032	LLA032	2-2-04-3-09	076	HADA	
HD-LLA033	LLA033	2-2-04-3-10	076	HADA	
HD-LLA034	LLA034	2-2-04-3-11	076	HADA	
HD-LLA035	LLA035	1-4-05-2-03	076	HADA	
HD-LLA036	LLA036	2-2-04-3-12	076	HADA	
HD-LLA037	LLA037	2-2-04-3-13	076	HADA	
HD-MAN001	MAN001	2-2-02-5-05	076	HADA	
HD-MAN002	MAN002	2-2-02-4-07	076	HADA	
HD-MAN003	MAN003	2-2-02-5-05	076	HADA	
HD-MAN004	MAN004	2-2-02-4-08	076	HADA	
HD-MAN005	MAN005	2-2-02-4-09	076	HADA	
HD-MAN007	MAN007	2-2-02-4-10	076	HADA	
HD-MAN008	MAN008	1-4-01-1-07	076	HADA	
HD-MAN009	MAN009	2-2-02-4-11	076	HADA	
HD-MAN010	MAN010	1-4-01-1-05	076	HADA	
HD-MAN011	MAN011	2-2-02-5-01	076	HADA	
HD-MAN012	MAN012	2-2-02-5-01	076	HADA	
HD-MAN013	MAN013	2-2-02-5-02	076	HADA	
HD-MAN101	MAN101	2-2-02-5-03	076	HADA	
HD-MAN102	MAN102	2-2-02-5-03	076	HADA	
HD-MAQ001	MAQ001	1-2-01-3-adelante	076	HADA	
HD-MAQ003	MAQ003		076	HADA	
HD-MAQ300	MAQ300	1-1-09-3-27	076	HADA	
HD-MAQ500	MAQ500	1-1-09-3-29	076	HADA	
HD-MAR001	MAR001	1-1-09-2-01	076	HADA	
HD-MAR002	MAR002	1-1-09-2-02	076	HADA	
HD-MAR004	MAR004	1-1-09-2-03	076	HADA	
HD-MAR005	MAR005	1-1-09-2-04	076	HADA	
HD-MAR011	MAR011	1-1-09-2-05	076	HADA	
HD-MAR012	MAR012	1-1-09-2-06	076	HADA	
HD-MCH001	MCH001	1-1-07-1-05	076	HADA	
HD-MDF001	MDF001	2-2-10-2-10	076	HADA	
HD-MDF002	MDF002	2-2-10-2-09	076	HADA	
HD-MDF003	MDF003	2-2-10-2-08	076	HADA	
HD-MDF004	MDF004	2-2-10-2-07	076	HADA	
HD-MDF005	MDF005	2-2-10-2-06	076	HADA	
HD-MDF006	MDF006	1-2-99-Atrás	076	HADA	
HD-MDF007	MDF007	2-2-10-2-05	076	HADA	
HD-MDF008	MDF008	2-2-10-2-09	076	HADA	
HD-MDF009	MDF009	2-2-10-2-03	076	HADA	
HD-MDF011	MDF011	2-2-10-2-02	076	HADA	
HD-MDF012	MDF012	2-2-10-2-01	076	HADA	
HD-MDF013	MDF013	2-2-10-3-01	076	HADA	
HD-MDF014	MDF014	2-2-10-3-02	076	HADA	
HD-MDF015	MDF015	2-2-10-3-03	076	HADA	
HD-MDF016	MDF016	2-2-10-3-04	076	HADA	
HD-MDF017	MDF017	2-2-10-3-05	076	HADA	
HD-MDF018	MDF018	2-2-10-3-06	076	HADA	
HD-MDF019	MDF019	2-2-10-3-07	076	HADA	
HD-MDF021	MDF021	2-2-10-3-08	076	HADA	
HD-MDF022	MDF022	2-2-10-3-09	076	HADA	
HD-MDF023	MDF023	2-2-10-3-10	076	HADA	
HD-MDF024	MDF024	2-2-10-3-11	076	HADA	
HD-MDF025	MDF025	2-2-adelante	076	HADA	
HD-MDF026	MDF026	1-2-99-Atrás	076	HADA	
HD-MDF029	MDF029	1-2-99-Atrás	076	HADA	
HD-MDF101	MDF101	1-2-99-Atrás	076	HADA	
HD-MDF102	MDF102	1-2-99-Atrás	076	HADA	
HD-MDF201	MDF201	2-2-adelante	076	HADA	
HD-MED051	MED051	2-2-04-1-08	076	HADA	
HD-MED052	MED052	2-3-01-4-17	076	HADA	
HD-MEP001	MEP001	2-2-adelante	076	HADA	
HD-MJT001	MJT001	1-1-09-2-04	076	HADA	
HD-MJT005	MJT005		076	HADA	
HD-MJT006	MJT006	1-1-09-2-03	076	HADA	
HD-MJT008	MJT008	1-1-09-2-02	076	HADA	
HD-MJT009	MJT009		076	HADA	
HD-MJT010	MJT010	1-1-09-2-01	076	HADA	
HD-MJT014	MJT014	1-1-07-2-14	076	HADA	
HD-MJT016	MJT016	1-1-07-2-10	076	HADA	
HD-MJT017	MJT017	1-1-07-2-09	076	HADA	
HD-MJT018	MJT018	1-1-07-2-08	076	HADA	
HD-MJT019	MJT019	1-1-07-2-07	076	HADA	
HD-MJT020	MJT020	1-1-07-2-06	076	HADA	
HD-MJT021	MJT021	1-1-07-2-05	076	HADA	
HD-MJT100	MJT100	1-1-07-2-04	076	HADA	
HD-MJT101	MJT101	1-1-07-2-03	076	HADA	
HD-MJT102	MJT102	1-1-07-2-02	076	HADA	
HD-PAS010	PAS010	2-2-09-1-01	076	HADA	
HD-PAS011	PAS011	2-2-09-2-02	076	HADA	
HD-PAS012	PAS012	2-2-09-1-03	076	HADA	
HD-PAS013	PAS013	2-2-09-1-04	076	HADA	
HD-PAS016	PAS016	2-2-09-1-05	076	HADA	
HD-PAS017	PAS017	2-2-09-1-06	076	HADA	
HD-PAS019	PAS019	2-2-09-1-07	076	HADA	
HD-PAS020	PAS020	2-2-09-2-08	076	HADA	
HD-PAS021	PAS021	2-2-09-2-09	076	HADA	
HD-PAS022	PAS022	2-2-09-1-10	076	HADA	
HD-PAS023	PAS023	2-2-09-2-10	076	HADA	
HD-PAS025	PAS025	2-2-07-1-20	076	HADA	
HD-PAS026	PAS026	2-2-09-2-12	076	HADA	
HD-PAS027	PAS027	2-2-09-1-16	076	HADA	
HD-PAS029	PAS029	2-2-09-1-15	076	HADA	
HD-PAS030	PAS030	2-2-09-1-16	076	HADA	
HD-PAS032	PAS032	2-2-09-1-17	076	HADA	
HD-PAS034	PAS034	2-2-09-2-17	076	HADA	
HD-PCE001	PCE001	1-2-04-4-11	076	HADA	
HD-PCT001	PCT001	2-2-02-3-01	076	HADA	
HD-PCT002	PCT002	2-2-02-3-01	076	HADA	
HD-PCT003	PCT003	2-2-02-3-02	076	HADA	
HD-PDA001	PDA001	1-4-06-3-03	076	HADA	
HD-PDA002	PDA002	1-4-06-3-04	076	HADA	
HD-PDA003	PDA003	1-4-06-3-05	076	HADA	
HD-PDA004	PDA004	1-4-06-3-06	076	HADA	
HD-PDA005	PDA005	1-4-06-3-07	076	HADA	
HD-PDA006	PDA006	1-4-06-3-08	076	HADA	
HD-PDA008	PDA008	1-4-06-3-09	076	HADA	
HD-PDA009	PDA009	1-4-06-3-10	076	HADA	
HD-PDA010	PDA010	1-4-06-3-11	076	HADA	
HD-PDA011	PDA011	1-4-06-2-11	076	HADA	
HD-PDA100	PDA100	1-4-06-2-10	076	HADA	
HD-PDA101	PDA101	1-4-06-2-09	076	HADA	
HD-PDA105	PDA105	1-4-06-2-08	076	HADA	
HD-PDA108	PDA108	1-4-06-2-07	076	HADA	
HD-PDA109	PDA109	1-4-06-2-06	076	HADA	
HD-PDA111	PDA111	1-4-06-2-05	076	HADA	
HD-PDA112	PDA112	1-4-06-2-04	076	HADA	
HD-PDC001	PDC001	1-4-06-1-10	076	HADA	
HD-PDC002	PDC002	1-4-06-1-09	076	HADA	
HD-PDC004	PDC004	1-4-06-1-08	076	HADA	
HD-PDC006	PDC006	1-4-06-1-07	076	HADA	
HD-PDC007	PDC007	1-4-06-1-06	076	HADA	
HD-PDC009	PDC009	1-4-06-1-05	076	HADA	
HD-PDC015	PDC015	1-4-06-1-04	076	HADA	
HD-PDC016	PDC016	1-4-06-1-03	076	HADA	
HD-PDC017	PDC017	1-4-06-1-02	076	HADA	
HD-PDF001	PDF001	1-4-05-1-05	076	HADA	
HD-PDF002	PDF002		076	HADA	
HD-PDF003	PDF003	1-4-05-1-04	076	HADA	
HD-PDF010	PDF010	1-2-07-3-01	076	HADA	
HD-PDF011	PDF011	1-4-05-1-02	076	HADA	
HD-PDV001	PDV001	1-1-09-4-adelante	076	HADA	
HD-PDV002	PDV002	1-1-09-4-adelante	076	HADA	
HD-PDV003	PDV003	1-1-09-4-adelante	076	HADA	
HD-PEH001	PEH001	2-2-02-3-03	076	HADA	
HD-PEH002	PEH002	2-2-02-3-04	076	HADA	
